,City,Temperature,Humidity,Cloudiness,wind_speed,Date,Country,Longitude,Latitude
282,peniche,51.51,66,0,7.72,1643759337,PT,-9.3811,39.3558
283,aparecida do taboado,70.36,97,100,4.97,1643759337,BR,-51.0936,-20.0867
284,cao bang,49.3,90,100,1.36,1643759338,VN,106.25,22.6667
285,avera,53.46,69,0,8.46,1643759338,US,-82.5271,33.194
286,yerbogachen,-31.83,100,40,1.48,1643759254,RU,108.0108,61.2767
287,uglovskoye,0.54,86,90,5.19,1643759338,RU,80.1942,51.3557
288,kuito,61.84,71,100,4.79,1643759338,AO,16.9333,-12.3833
289,charters towers,87.26,58,100,8.55,1643759339,AU,146.2667,-20.1
290,novikovo,5.0,100,78,5.06,1643759339,RU,37.8879,51.1537
291,contai,66.09,85,5,1.34,1643759339,IN,87.7536,21.7786
292,shahrud,32.2,61,19,0.63,1643759340,IR,54.9763,36.4182
293,ixtapa,76.23,66,0,5.01,1643759340,MX,-105.2,20.7
294,bam,49.28,57,1,12.46,1643759340,IR,58.357,29.106
295,burnie,58.95,54,8,10.31,1643759340,AU,145.9167,-41.0667
296,damavand,25.56,51,0,7.81,1643759341,IR,52.065,35.7178
297,pangnirtung,-25.6,75,20,0.0,1643759341,CA,-65.7125,66.1451
298,petropavlovsk-kamchatskiy,30.79,100,100,24.61,1643759083,RU,158.6483,53.0452
299,soyo,77.94,87,58,7.27,1643759341,AO,12.3689,-6.1349
300,husavik,8.51,82,29,13.24,1643759060,IS,-17.3389,66.0449
301,botshabelo,65.57,78,100,4.16,1643759342,ZA,26.7052,-29.2702
302,tchibanga,72.75,95,91,1.7,1643759342,GA,11.0333,-2.85
303,ancud,60.85,91,100,5.59,1643759342,CL,-73.8203,-41.8697
304,beauceville,20.86,63,91,6.91,1643759342,CA,-70.7787,46.2179
305,yima,27.84,70,73,5.55,1643759343,CN,111.8839,34.7381
306,kantunilkin,69.73,80,59,3.65,1643759343,MX,-87.45,21.0917
307,torbay,22.21,61,40,13.8,1643759259,CA,-52.7314,47.6666
308,bambanglipuro,62.6,79,61,3.49,1643759343,ID,110.2833,-7.95
309,esperance,64.24,53,43,17.25,1643759344,AU,121.9,-33.8667
310,tigil,19.31,79,99,8.52,1643759344,RU,158.6667,57.8
311,poltavka,0.25,100,86,6.24,1643759344,RU,71.7632,54.3663
312,bundaberg,88.21,71,100,5.01,1643759221,AU,152.35,-24.85
313,mitsamiouli,81.59,76,100,4.83,1643759345,KM,43.2844,-11.3847
314,port-gentil,80.19,78,77,8.97,1643759345,GA,8.7815,-0.7193
315,lota,58.46,72,2,2.89,1643759345,CL,-73.1667,-37.0833
316,kahului,80.47,65,20,20.71,1643759345,US,-156.47,20.8947
317,busayra,42.69,54,0,6.55,1643759346,JO,35.6078,30.7376
318,namibe,72.23,69,79,10.87,1643759332,AO,12.1522,-15.1961
319,fairbanks,-9.62,72,0,0.0,1643759346,US,-147.7164,64.8378
320,westport,32.27,69,75,4.0,1643759346,US,-73.3579,41.1415
321,sand springs,60.04,74,75,3.44,1643759216,US,-96.1089,36.1398
322,prince rupert,37.49,75,40,0.0,1643759108,CA,-130.3201,54.3161
323,la ronge,-7.35,64,40,11.5,1643759347,CA,-105.2842,55.1001
324,urambo,63.21,96,100,0.96,1643759347,TZ,32.05,-5.0667
325,alyangula,84.07,74,100,9.22,1643759347,AU,136.4192,-13.8483
326,koslan,16.02,95,100,6.96,1643759348,RU,48.8989,63.4564
327,constantine,44.01,75,75,16.11,1643759348,DZ,6.6147,36.365
328,cabo san lucas,73.13,51,0,9.75,1643759271,MX,-109.9124,22.8909
329,bodden town,75.49,85,40,5.99,1643759348,KY,-81.25,19.2833
330,voyvozh,20.84,94,100,8.21,1643759349,RU,54.9635,62.892
331,gushikawa,62.47,88,100,6.91,1643759349,JP,127.8686,26.3544
332,egvekinot,-5.04,85,87,18.25,1643759349,RU,-179.1667,66.3167
333,hammerfest,21.65,49,0,12.66,1643759350,NO,23.6821,70.6634
334,bubaque,78.3,81,4,10.2,1643759275,GW,-15.8333,11.2833
335,dikson,2.7,94,100,17.25,1643759328,RU,80.5464,73.5069
336,treinta y tres,64.85,55,0,6.64,1643759350,UY,-54.3833,-33.2333
337,yarim,51.15,51,42,4.36,1643759350,YE,44.3779,14.298
338,duluth,13.3,55,0,7.0,1643759350,US,-92.1066,46.7833
339,cockburn town,76.17,75,24,19.51,1643759205,TC,-71.1419,21.4612
340,promyshlennyy,-11.97,100,98,4.16,1643759351,RU,63.9167,67.5833
341,steamboat springs,17.51,64,100,4.61,1643759226,US,-106.8317,40.485
342,hovd,-7.35,90,100,1.28,1643759351,MN,91.6419,48.0056
343,walvis bay,69.1,86,60,3.87,1643759351,NA,14.5053,-22.9575
344,dire dawa,63.93,59,31,1.88,1643759352,ET,41.8661,9.5931
345,nisia floresta,80.98,82,29,5.23,1643759352,BR,-35.2086,-6.0911
346,port macquarie,78.76,86,100,3.24,1643759352,AU,152.9167,-31.4333
347,sept-iles,1.94,65,75,3.0,1643759352,CA,-66.3821,50.2001
348,chipinge,62.1,83,0,2.24,1643759353,ZW,32.6236,-20.1883
349,lukovetskiy,4.98,96,97,6.71,1643759353,RU,41.9211,64.2956
350,hobyo,77.13,81,100,17.29,1643759353,SO,48.5268,5.3505
351,terrace bay,29.82,78,100,27.74,1643759353,CA,-87.1,48.7834
352,akyab,61.43,77,31,8.14,1643759054,MM,92.9,20.15
353,quito,56.35,88,94,2.24,1643759354,EC,-78.5249,-0.2299
354,vagur,40.21,64,100,21.23,1643759354,FO,-6.8119,61.4732
355,inuvik,-11.31,77,20,1.14,1643759313,CA,-133.7218,68.3499
356,havre-saint-pierre,-5.04,77,100,3.44,1643759354,CA,-63.5986,50.2334
357,carutapera,76.87,90,79,7.81,1643759355,BR,-46.02,-1.195
358,candolim,71.6,94,6,2.3,1643759355,IN,73.7626,15.5181
359,bilma,55.53,22,0,7.16,1643759355,NE,12.9164,18.6853
360,nome,21.27,45,0,23.02,1643759356,US,-165.4064,64.5011
361,sioux lookout,3.27,85,100,18.41,1643759356,CA,-91.917,50.1001
362,tezpur,50.68,96,48,5.44,1643759356,IN,92.8,26.6333
363,praia,79.34,41,75,11.5,1643759058,CV,-23.5087,14.9215
364,marawi,66.65,87,98,1.92,1643759357,PH,124.2928,7.9986
365,coahuayana,79.03,48,0,4.45,1643759357,MX,-103.6833,18.7333
366,dauphin,-5.66,71,0,20.71,1643759357,CA,-100.0502,51.1494
367,shizuishan,13.01,30,8,3.11,1643759357,CN,106.7694,39.2333
368,qixia,23.72,61,79,2.86,1643759358,CN,120.8256,37.2975
369,dulmen,45.55,80,88,17.56,1643759358,DE,7.3,51.8333
370,albanel,6.8,72,100,10.36,1643759348,CA,-72.4487,48.8832
371,port hardy,41.18,87,75,3.44,1643759358,CA,-127.4199,50.6996
372,kerrobert,-3.95,92,66,12.03,1643759359,CA,-109.1348,51.9168
373,alirajpur,63.5,58,3,1.23,1643759359,IN,74.3546,22.3031
374,albertville,55.96,33,0,4.61,1643759359,US,-86.2089,34.2676
375,mount gambier,62.51,39,40,17.27,1643759359,AU,140.7667,-37.8333
376,faanui,80.69,76,13,19.3,1643759360,PF,-151.75,-16.4833
377,semey,-4.04,87,50,6.51,1643759360,KZ,80.2275,50.4111
378,timizart,47.57,86,100,2.51,1643759360,DZ,4.2667,36.8
379,palmer,30.04,68,75,3.44,1643759098,US,-72.3287,42.1584
380,hamilton,52.52,42,0,10.36,1643759152,US,-84.5333,39.1834
381,benguela,74.3,75,64,1.52,1643759202,AO,13.4055,-12.5763
382,merritt,29.23,76,45,6.06,1643759361,CA,-120.7942,50.1123
383,kondagaon,54.72,44,1,0.92,1643759361,IN,81.6667,19.6
384,abay,-5.42,93,71,4.0,1643759361,KZ,72.8539,49.6311
385,buenos aires,77.88,56,0,3.44,1643759334,AR,-58.3772,-34.6132
386,paraiso,65.95,96,85,2.82,1643759362,CR,-83.8656,9.8383
387,saint stephen,48.45,93,100,18.41,1643759362,GB,-4.9,50.3333
388,honningsvag,26.46,64,91,14.27,1643759362,NO,25.9704,70.9821
389,cidreira,72.1,73,3,10.8,1643759362,BR,-50.2056,-30.1811
390,barma,67.41,69,91,0.87,1643759363,SL,-11.3333,8.35
391,nieuw amsterdam,79.86,81,20,11.5,1643759363,SR,-55.0833,5.8833
392,gat,47.21,100,0,3.67,1643759363,IL,34.7642,31.61
393,hambantota,71.55,83,9,11.01,1643759272,LK,81.1185,6.1241
394,churapcha,-20.02,98,100,3.02,1643759364,RU,132.4325,62.0025
395,udachnyy,-35.91,100,59,1.88,1643759364,RU,112.4,66.4167
396,kirakira,84.07,75,89,6.69,1643759364,SB,161.9205,-10.4544
397,halifax,14.36,61,0,5.75,1643759157,CA,-63.5724,44.6453
398,santiago,74.01,41,0,8.05,1643759109,CL,-70.6483,-33.4569
399,ati,60.91,16,0,9.53,1643759365,TD,18.3353,13.2154
400,holme,41.88,81,44,21.03,1643759365,DK,10.1725,56.1138
401,smithers,21.52,63,100,10.36,1643759366,CA,-127.1743,54.7804
402,srednekolymsk,-13.4,93,94,6.67,1643759366,RU,153.6833,67.45
403,tres picos,78.44,70,7,4.99,1643759366,MX,-93.5333,15.8667
404,atambua,78.22,77,44,7.11,1643759205,ID,124.8925,-9.1061
405,quatre cocos,80.1,92,100,29.35,1643759366,MU,57.7625,-20.2078
406,maues,74.71,94,56,1.54,1643759367,BR,-57.7186,-3.3836
407,high level,-5.69,65,20,9.22,1643759127,CA,-117.136,58.5169
408,saint-francois,44.06,100,100,11.5,1643759367,FR,3.9054,46.4154
409,beni,66.43,62,94,2.66,1643759367,CD,29.4667,0.5
410,kumertau,26.42,97,100,13.24,1643759368,RU,55.7833,52.7667
411,gorin,-1.25,94,99,2.59,1643759368,RU,136.6669,51.1983
412,vardo,19.6,61,77,5.73,1643759245,NO,31.1107,70.3705
413,mendota,54.41,34,1,12.35,1643759312,US,-120.3816,36.7536
414,praia da vitoria,59.25,82,20,11.21,1643759368,PT,-27.0667,38.7333
415,chinsali,62.4,98,100,3.22,1643759369,ZM,32.0816,-10.5414
416,menongue,62.17,60,100,4.27,1643759369,AO,17.691,-14.6585
417,ugoofaaru,82.36,74,8,13.87,1643759369,MV,73.0,5.6667
418,raga,67.6,24,65,3.51,1643759369,SS,25.678,8.4596
419,luau,64.06,98,99,3.29,1643759370,AO,22.2247,-10.7073
420,sakakah,44.17,51,0,6.8,1643759370,SA,40.2064,29.9697
421,aswan,52.9,43,0,6.91,1643759314,EG,32.907,24.0934
422,necochea,68.04,79,7,7.58,1643759370,AR,-58.7368,-38.5473
423,shangzhi,-5.06,100,85,5.12,1643759371,CN,127.9667,45.2167
424,luanda,75.2,83,0,8.05,1643759371,AO,13.2343,-8.8368
425,jinchang,17.71,39,44,3.89,1643759371,CN,102.1739,38.4953
426,nador,55.65,76,75,0.0,1643759371,MA,-2.9287,35.174
427,raymondville,69.75,65,0,10.31,1643759372,US,-97.7831,26.4815
428,caucaia,82.04,76,0,9.22,1643759372,BR,-38.6531,-3.7361
429,caucel,82.06,56,41,7.0,1643759372,MX,-89.7167,21.0167
430,tual,81.46,77,99,8.93,1643759373,ID,132.75,-5.6667
431,kapuskasing,35.6,75,100,17.27,1643759373,CA,-82.4331,49.4169
432,thinadhoo,83.19,70,8,12.46,1643759373,MV,72.9333,0.5333
433,asau,27.41,93,77,5.3,1643759373,RO,26.4,46.4333
434,pitkyaranta,12.52,96,100,6.24,1643759345,RU,31.4792,61.5734
435,severo-yeniseyskiy,-2.25,98,88,4.38,1643759374,RU,93.0408,60.3725
436,burgeo,10.0,79,28,9.62,1643759179,CA,-57.6152,47.6167
437,perbaungan,75.24,91,75,4.85,1643759374,ID,98.956,3.5679
438,bria,70.03,31,57,0.81,1643759374,CF,21.9863,6.5423
439,benalla,66.83,38,0,12.73,1643759375,AU,145.9833,-36.55
440,kloulklubed,81.1,75,100,18.32,1643759375,PW,134.2556,7.0419
441,leh,-8.41,77,46,2.77,1643759375,IN,77.5833,34.1667
442,mudanjiang,-3.84,95,48,3.91,1643759375,CN,129.6,44.5833
443,skibbereen,48.0,85,41,11.25,1643759376,IE,-9.2667,51.55
444,zhanakorgan,26.92,79,6,4.27,1643759376,KZ,67.2495,43.9098
445,nakambala,64.18,97,66,4.38,1643759376,ZM,27.7799,-15.8324
446,coolum beach,80.22,77,100,6.6,1643759377,AU,153.1,-26.5333
447,mayya,-22.68,97,100,5.68,1643759377,RU,130.2811,61.7333
448,tsiroanomandidy,65.53,75,56,2.86,1643759377,MG,46.0333,-18.7667
449,debre birhan,46.74,65,98,3.96,1643759377,ET,39.5333,9.6833
450,northam,49.01,93,100,14.99,1643759378,GB,-4.2167,51.0333
451,vondrozo,64.18,97,13,2.26,1643759378,MG,47.2833,-22.8167
452,pierre,20.97,55,0,11.99,1643759136,US,-100.351,44.3683
453,tucson,63.18,23,100,4.0,1643759323,US,-110.9265,32.2217
454,awbari,49.37,28,4,8.93,1643759378,LY,12.7805,26.5921
455,khani,35.17,75,84,9.51,1643759379,GE,42.9566,41.9563
456,nioro,84.92,12,3,10.89,1643759088,GM,-15.75,13.35
457,narrabri,73.53,92,100,1.01,1643759379,AU,149.7833,-30.3167
458,sechura,76.59,60,38,17.96,1643759379,PE,-80.8222,-5.5569
459,areka,61.0,38,72,5.68,1643759380,ET,37.7,7.0667
460,buseresere,63.14,96,96,3.0,1643759380,TZ,31.8747,-3.0236
461,padang,73.45,83,100,4.68,1643759380,ID,100.3543,-0.9492
462,kamaishi,22.15,66,33,7.76,1643759330,JP,141.8833,39.2667
463,foz,42.91,93,7,4.18,1643759381,ES,-7.2544,43.5692
464,lahad datu,76.42,93,92,3.96,1643759381,MY,118.327,5.0268
465,ukiah,58.46,31,0,10.36,1643759381,US,-123.2078,39.1502
466,celina,47.26,87,100,10.18,1643759382,US,-84.5702,40.5489
467,hailar,-13.23,99,100,4.85,1643759382,CN,119.7,49.2
468,mahanoro,72.93,90,97,8.32,1643759382,MG,48.8,-19.9
469,pontes e lacerda,71.73,97,99,2.57,1643759364,BR,-59.3353,-15.2261
470,altay,6.75,83,97,5.32,1643759359,CN,88.1167,47.8667
471,anadyr,23.5,46,45,13.42,1643759382,RU,177.4833,64.75
472,bosaso,75.65,77,84,7.07,1643759383,SO,49.1816,11.2842
473,saint joseph,35.19,55,100,18.41,1643759383,US,-94.8466,39.7686
474,mitu,77.52,62,97,2.77,1643759383,CO,-70.1733,1.1983
475,pisco,71.65,68,0,21.85,1643759090,PE,-76.2167,-13.7
476,lamu,76.66,88,98,7.76,1643759384,KE,40.902,-2.2717
477,natal,80.82,83,0,8.05,1643759219,BR,-35.2094,-5.795
478,qasigiannguit,3.45,94,100,4.88,1643759384,GL,-51.1922,68.8193
479,khorol,8.85,98,64,4.32,1643759384,UA,33.2783,49.7837
480,ikalamavony,63.3,81,52,6.42,1643759384,MG,46.5833,-21.15
481,mackenzie,7.02,43,0,2.3,1643759326,CA,-123.1698,55.2999
482,lebedinyy,-16.85,99,100,3.51,1643759385,RU,125.5167,58.5167
483,port blair,69.84,94,40,2.3,1643759385,IN,92.75,11.6667
484,zhaotong,23.58,96,100,4.45,1643759385,CN,103.7167,27.3167
485,salalah,66.29,37,0,5.75,1643759385,OM,54.0924,17.0151
486,kiama,66.97,89,100,3.0,1643759325,AU,150.8667,-34.6833
487,tumaco,76.8,82,77,4.54,1643759386,CO,-78.8156,1.7986
488,clifton,30.58,72,0,4.61,1643759237,US,-74.1638,40.8584
489,jutai,74.52,95,53,1.05,1643759386,BR,-68.9,-5.1833
490,marsh harbour,67.95,57,96,17.85,1643759386,BS,-77.0636,26.5412
491,cotonou,77.92,71,9,7.0,1643759387,BJ,2.4183,6.3654
492,nanortalik,9.72,67,10,15.43,1643759387,GL,-45.2371,60.1432
493,tiznit,62.71,35,91,2.46,1643759387,MA,-9.5,29.5833
494,zomba,64.8,95,9,2.17,1643759388,MW,35.3188,-15.386
495,banjar,79.92,80,65,1.07,1643759388,ID,114.9675,-8.19
496,tagusao,79.02,79,91,5.91,1643759388,PH,117.8141,9.1924
497,yar-sale,-16.69,99,64,6.67,1643759388,RU,70.8333,66.8333
498,el alto,76.66,76,17,11.81,1643759389,PE,-81.2147,-4.2714
499,tuskegee,61.68,63,82,6.51,1643759389,US,-85.6916,32.424
500,saint-pierre,78.22,89,100,33.38,1643759389,RE,55.4781,-21.3393
501,mazarron,47.44,72,0,6.78,1643759390,ES,-1.3149,37.5992
502,ravne,28.8,90,50,3.02,1643759390,SI,15.0128,45.9625
503,kalmunai,72.12,78,0,3.02,1643759390,LK,81.8167,7.4167
504,flinders,67.71,85,100,11.01,1643759390,AU,150.8552,-34.5833
505,helong,8.4,76,13,5.73,1643759391,CN,128.9972,42.5397
506,coquimbo,65.93,77,0,11.5,1643759391,CL,-71.3436,-29.9533
507,bosconia,84.18,36,1,1.81,1643759391,CO,-73.8836,9.9689
508,itoman,64.54,84,75,6.91,1643759391,JP,127.6694,26.1247
509,chanika,67.08,99,82,1.03,1643759392,TZ,38.0167,-5.4167
510,linda,59.68,27,0,21.85,1643759392,US,-121.5508,39.1277
511,candido mendes,75.38,93,94,4.12,1643759392,BR,-45.7167,-1.4467
512,chengde,13.71,51,0,4.09,1643759393,CN,117.9361,40.9725
513,southbridge,28.83,72,99,1.99,1643759393,US,-72.0334,42.0751
514,neiafu,84.88,70,40,6.91,1643759393,TO,-173.9833,-18.65
515,lagoa,58.86,71,43,15.14,1643759393,PT,-27.9833,39.05
516,hudson bay,-8.61,87,99,7.96,1643759394,CA,-102.3842,52.85
517,geraldton,88.21,23,46,28.77,1643759394,AU,114.6,-28.7667
518,segou,73.08,10,79,10.49,1643759394,ML,-6.2157,13.4317
519,aykhal,-22.13,100,9,2.57,1643759394,RU,111.5,66.0
520,katobu,80.42,76,100,1.99,1643759395,ID,122.5276,-4.9408
521,mosquera,59.09,72,40,9.22,1643759395,CO,-74.2302,4.7059
522,macas,69.55,94,100,3.44,1643759395,EC,-78.1167,-2.3167
523,lowicz,33.69,98,100,14.45,1643759395,PL,19.9453,52.1071
524,imbituba,76.89,88,50,5.88,1643759396,BR,-48.6703,-28.24
525,balozi,22.73,93,100,4.61,1643759396,LV,24.1186,56.8761
526,pacific grove,59.14,37,1,3.0,1643759134,US,-121.9166,36.6177
527,kungurtug,-20.42,99,80,1.45,1643759396,RU,97.5228,50.5994
528,shenjiamen,44.55,78,100,14.52,1643759397,CN,122.298,29.9576
529,prieska,69.15,82,99,3.58,1643759397,ZA,22.7474,-29.6641
530,karratha,84.43,73,96,12.12,1643759397,AU,116.8463,-20.7377
531,christchurch,73.49,75,40,1.01,1643759397,NZ,172.6333,-43.5333
532,longhua,50.36,96,99,2.86,1643759398,CN,114.1919,23.6137
533,butwal,51.17,83,1,3.96,1643759398,NP,83.4484,27.7006
534,saravena,80.62,41,77,1.59,1643759398,CO,-71.8752,6.9538
535,panaba,73.58,67,35,10.74,1643759399,MX,-88.2667,21.2833
536,aksarka,-20.02,100,85,6.53,1643759399,RU,67.7975,66.5606
537,linares,70.47,37,1,5.01,1643759399,CL,-71.6,-35.85
538,brae,37.31,67,100,20.49,1643759195,GB,-1.353,60.3964
539,lodja,69.96,87,99,1.66,1643759399,CD,23.4333,-3.4833
540,edd,77.68,73,53,5.57,1643759400,ER,41.6925,13.9297
541,broken hill,58.71,63,75,21.85,1643759400,AU,141.4333,-31.95
542,nizwa,65.93,32,3,1.74,1643759401,OM,57.5333,22.9333
543,belousovka,-13.95,84,100,2.24,1643759401,KZ,82.5239,50.1339
544,rio branco,72.21,100,75,2.3,1643759386,BR,-67.81,-9.9747
545,naryan-mar,-3.28,99,100,6.11,1643759401,RU,53.087,67.6713
546,tygda,-6.48,83,28,7.63,1643759402,RU,126.3333,53.1167
547,kyshtovka,1.62,100,95,4.27,1643759402,RU,76.6271,56.555
548,neuquen,94.89,24,0,3.44,1643759357,AR,-68.0591,-38.9516
549,cabra,37.99,63,0,4.07,1643759402,ES,-4.4421,37.4725
550,rawson,76.39,38,26,4.63,1643759267,AR,-65.1023,-43.3002
551,clyde river,-18.17,69,75,4.61,1643759403,CA,-68.5914,70.4692
552,visnes,40.98,81,40,28.77,1643759403,NO,5.2242,59.3556
553,bilibino,5.27,61,100,6.71,1643759403,RU,166.4372,68.0546
554,santa cruz,82.45,69,40,2.3,1643759380,BO,-63.1667,-17.8
555,juneau,23.14,66,100,6.91,1643759404,US,-134.4197,58.3019
556,potosi,43.77,80,94,5.5,1643759404,BO,-65.7531,-19.5836
557,guerrero negro,62.46,65,99,14.03,1643759327,MX,-114.0611,27.9769
558,conceicao do araguaia,74.7,92,71,2.51,1643759404,BR,-49.2647,-8.2578
559,vostok,-1.44,94,100,4.14,1643759405,RU,135.8833,46.4856
560,copiapo,69.49,56,0,5.91,1643759114,CL,-70.3333,-27.3667
561,lalganj,48.15,75,0,3.2,1643759405,IN,85.1833,25.8667
562,morondava,80.76,83,38,3.58,1643759405,MG,44.2833,-20.2833
563,namatanai,81.16,77,100,4.45,1643759405,PG,152.4333,-3.6667
564,nau,37.99,41,100,7.36,1643759406,TJ,69.3686,40.1525
